account_id,unstaked_balance,staked_balance,can_withdraw
legends.testnet,40340424794209830130077720746,744966157737080938725824956475,True
stakewars.testnet,2,1065524995180017710849763061859,True
wang-meng14.testnet,1,315711108052323062763674046,True
defifinacer.testnet,1,787885953902989728969643575,True
naik71rus.testnet,202727093885355008675325921,0,True
tilekxrp.testnet,1,787858878240717700321434133,True
newbie.testnet,1,3946388850654038284545922,True
stanford.testnet,1,391752260355505867928257946,True
cs123.testnet,1,39463887939975397686717393,True
a2767883309.testnet,1,787885942591671694360656702,True
maoym.testnet,1,393237574590760862243270083,True
dongkunyi.testnet,1,7873248699016198294599198,True
bboytinge.testnet,1,785936497427488062603547780,True
zsn22.testnet,1,785936497427488062603547780,True
aa123.testnet,1,39366243495080991472995998,True
xmax.testnet,1,196831217475404957364979992,True
otto.testnet,1,389731936445830856401974785,True
aa131.testnet,1,39366243495080991472995998,True
aa135.testnet,1,39366243495080991472995998,True
toxatas.testnet,1,785931411090641093567963076,True
denispro2015nft.testnet,10439670404313232436696279,0,True
cornelia2.testnet,1,393662424514215292855526226,True
eudora.testnet,1,393662424514215292855526226,True
shove.testnet,1,393662424514215292855526226,True
harriet.testnet,1,393662424514215292855526226,True
hazel.testnet,1,393662424514215292855526226,True
321456.testnet,1,589153248306436548607145135,True
lambert.testnet,1,391752260355505867928257946,True
larry1.testnet,1,391752260355505867928257946,True
joshua1.testnet,1,391752260355505867928257946,True
leonard.testnet,1,391752260355505867928257946,True
lennon.testnet,1,391752260355505867928257946,True
leo1.testnet,1,391752260355505867928257946,True
bradley.testnet,1,391752260355505867928257946,True
benson.testnet,1,391752260355505867928257946,True
burnell.testnet,1,391752260355505867928257946,True
barlow.testnet,1,391752260355505867928257946,True
sebastiane.testnet,1,391752260355505867928257946,True
shirley1.testnet,1,391752260355505867928257946,True
yevhen.testnet,1,389288696306134865100743292,True
elroy99.testnet,1,390681358143509031746209003,True
ernest.testnet,1,390681358143509031746209003,True
keith.testnet,1,390681358143509031746209003,True
kenjiby.testnet,1,350220219875231929756090606,True
phyllis2.testnet,1,389731936445830856401974785,True
quennel.testnet,1,388639445375097255374711131,True
anton1982.testnet,1,777223644007019463064247711,True
fourbrid.testnet,1,196278912785468863910931795,True
r2fphoto.testnet,1,772824180880709759369536858,True
gameddit.testnet,1,772819326284138820264212832,True
mrboey.testnet,1,385325055621023129427266675,True
realcashonline.testnet,1,805381989140109237626552412,True
motrosow.testnet,1,576101652245087568557852209,True
rickj88.testnet,1,762575632229147111452931797,True
ivansalam.testnet,1,756283509896992325542039908,True
goodcrypto.testnet,1,762547742715665792207460887,True
abner.testnet,1,187389507110521782846820078,True
sergej25.testnet,1,748594220127969576801452018,True
darinageorgieva.testnet,1,186457090414688444397896838,True
shoqx.testnet,1,1117425107306983787853956835,True
garry.testnet,1,539395967354863588065577594,True
kronos511.testnet,1,735453632256150647706442320,True
zub_den1980.testnet,3,717006346506868792864352185,True
huulong.testnet,1,366293454746659927678556701,True
thanhca001.testnet,1,7305054637162392112156658,True
meta.pool.testnet,1,2449213940618084982097166376,True
piratskariba.testnet,1,181422655933511018831550866,True
marcinzz01.testnet,100000000000000000000002,3259236805328979709217711,True
suloxanh.testnet,5000000000000000000000003,68191170149113905589680144,True
marcinkk07.testnet,1,79670233019152837336433035,True
gr3543t5.testnet,1,10864122684423250141276278,True
phamanhthi020990.testnet,1,180615419971380311872148834,True
0558d8ffa3d71840531d93c03091cf64e677eb7d006caafbadf35b699452bbae,2,12312047489439333997264213,True
waseel.testnet,1,716499848275207133672110792,True
titan.testnet,75426461670158494621019,0,True
charlesdj.testnet,1,714873372474743142516583226,True
kaza.testnet,2,324557838323552370062543038,True
july.testnet,1,357357561028509765084447174,True
maratoshi.testnet,1,357357561028509765084447174,True
djataki.testnet,1,539582472092362755727556745,True
133.testnet,1,712035276473863453798643797,True
jecaan.testnet,2,659800388419909186858470537,True
seagull202020.testnet,1,2298564142912469387067208,True
seagul.testnet,110774377152301317260435423,0,True
justin22492.testnet,1,708135120235186894308984430,True
dieucrypto.testnet,1,710438584269022875653137084,True
allisonthomas.testnet,1,357090367618973034767360120,True
coramills.testnet,1,431336879698165447936811236,True
tamaraporter.testnet,1,392445849561445612467098745,True
tayloralvarado.testnet,1,314663789288005941527673768,True
bknight.testnet,0,958712215792653306794124483,True
kikoo.testnet,1,122985893403969908456736808,True
romansov.testnet,1,701532714075581009147726226,True
hausurehs.testnet,1,527082400302728179100300614,True
krypton.testnet,444150755491686055633274994,0,True
krypton1.testnet,545290811352104961857418888,0,True
krypton3.testnet,553536755283254489456603142,0,True
amphyby.testnet,1,699985010098600892173271605,True
kriptoninvest1.testnet,1,695734195974894600140190560,True
glebovik.testnet,1,86056034599307026231424647,True
navyxie2010.testnet,1,34356402792034179619741373,True
maliu.testnet,4235550000000000000000006,77170327703702057057176828,True
wangwu.testnet,1000000000000000000000002,6932070452991765718531944,True
vakil.testnet,2,153776296130912386156242646,True
satosh0.testnet,15,512734051612665807600,True
kimyoungmin.testnet,4,272688677200393463325,True
bemminhdep.testnet,1,680357378541856806175733412,True
chocobo11.testnet,1,219259525373516544714725264,True
shawn.testnet,108735973508372734729422082701,0,True
todddu.testnet,2,336827130896061171034830313,True
serejey.testnet,1,670401785484332531659269016,True
khanh.testnet,1,335573455439572088738443951,True
flysky.testnet,3000000000000000000000002,658661846627174442938236314,True
moneyball.testnet,1,332857961458129178057170866,True
duncancryptoblabla.testnet,1,331505798570913074370111326,True
duongvietdungstore.testnet,2,320659754402775404317359,True
chiquangtran43.testnet,1,331505798570913074370111326,True
leedio.testnet,3,293533181298444162933893178,True
phamtai1509.testnet,1,660360146172757230623975552,True
nguyentranthevyvn.testnet,1,165064787254914408413798483,True
kienpc.testnet,4,988026823883942683873995869,True
haixuanpham.testnet,1,330129574509828816827596966,True
test-playwright-account-1630949306554-12.esaminu.testnet,2,208942413280443481224562,True
taro09.testnet,1,329503321955345689796418756,True
cuhanhbn.testnet,2,657840152475790020337441525,True
hieulq.testnet,73527285766649216996700633,0,True
hasan00.testnet,1000000000000000000000001,0,True
amartyabose007.testnet,1,369312148058477975265160765,True
wrfcoin.testnet,2,32748953005246405879814622,True
phamquynhan.testnet,1,58589720193636425348326846,True
terrynear.testnet,2,647428369571781747284352113,True
axelbrat.testnet,1,641443649790679929288649370,True
sdfafsdafasdf.testnet,1,31856271954646799589270246,True
nearpoc1.testnet,1,3185627195464679958927021,True
meta-v2.pool.testnet,0,158176856115302943764010139155,True
nearpoc2.testnet,6,19075121478236867708885805,True
smokeweed.testnet,1,13663850956479996911948598,True
dntest2.testnet,1,126707830603943687361186683,True
laukangyang.testnet,1,629844416068762658911234197,True
mynearaccount.testnet,1,629844416068762658911234197,True
erc21.testnet,1000000000000000000000001,0,True
anhtrum19816.testnet,1,47236071942316880263622305,True
ihab.testnet,116000000000000000000000003,7487590451931635165148303,True
belial.testnet,432530685138148380716803182,0,True
characters2904.testnet,1,15625132538042610383030263,True
denysecrista9322.testnet,1,622646716098110531886539836,True
celestelatrice7442.testnet,1,622646716098110531886539836,True
rosettetyner195.testnet,1,622646716098110531886539836,True
rydek.testnet,226828435664590087789041081,0,True
temekaingrid7236.testnet,1,622646716098110531886539836,True
tereasavanesa5432.testnet,1,622646716098110531886539836,True
wyattstamps9741.testnet,1,622646716098110531886539836,True
jeanettadaigle5820.testnet,1,622646716098110531886539836,True
toshahelms1348.testnet,1,622646716098110531886539836,True
ritaespinosa3273.testnet,1,621402236967145601855453194,True
nakishareanna1353.testnet,1,621402236967145601855453194,True
linkeo.testnet,378571552180687843342413723,0,True
quyetdao.testnet,2,21043929676907278270851597,True
icecatchi1.testnet,1,146632108106857738539732295,True
zkenkyo.testnet,2,613290011216838515326149588,True
igorfroehner.testnet,115240529059767388087827888,0,True
santosh17.testnet,2,20942744557776344634083644,True
leminhngoc.testnet,1,523277801804804396219383107,True
andra.testnet,1,576360827968003131802464154,True
chestedos.testnet,1,2995272886557718156503671,True
piter1771.testnet,2,231453272149257416313108,True
htrung19911991.testnet,1,298646183514551179697655747,True
thai2001.testnet,2,594354441264593176648261329,True
cocochan.testnet,1,1178250157750624048201823308,True
mybloomingpath.testnet,2,500748088086523613076480925,True
fghostz3324.testnet,56332861510246359447471803,0,True
armani21.testnet,1,73519491462315575225637192,True
mikroskeem2.testnet,197839589323646602219176343,0,True
mikroskeem.testnet,202912399306304207404283429,0,True
0403lerik.testnet,1,109486722867668194555417483,True
fcb.testnet,1,579911530219163915982534295,True
zemnik49.testnet,2,355362568238171670644745608,True
colinstreamingfast.testnet,1,2454981459274689982809485,True
imanmulyana.testnet,1,401080900695296565925671705,True
tanhoang93.testnet,11,20018667901478553858264941042,True
wuzgut.testnet,1,28293359449168868205203257,True
ssunny1210.testnet,1,561628218449330861424012142,True
olivier.testnet,50000000000000000000000003,149118812679605460692324931,True
gonbadger.testnet,2,139536173731614677906377971,True
usteel_81.testnet,1,271525952294867372606754810,True
831494b06637416ea50aaa77f0810ba508d11a02f2c8ed28c68a1c587db51435,1,257252749465588065197311857,True
federico3a.testnet,1,13305035465416664475207214,True
redsquare.testnet,0,294289646389026562625768,True
test-playwright-account-1632257139969-877,2,200478542861485567517913,True
cryptostew94.testnet,152594384628280504999622640,0,True
aldillo96.testnet,192455685670867549757208906,0,True
brixton21.testnet,131428714267907063341011,0,True
anurag0002.testnet,1,520380075029260208101421801,True
ninhbinh.testnet,2,526658430335427189824205539,True
bubu007.testnet,200528001505345220528752343,0,True
helloworld04.testnet,2,362653531535440026496967,True
vanmanh288.testnet,1,27870761528072942761623272,True
fuzuli.testnet,672029269576941170448399,0,True
near97.testnet,2,395691587205512116355529388,True
huybien1.testnet,1,53090099454266251156729130,True
conan4.testnet,1,26710451768708840279665846,True
halilgeo27.testnet,92823784740009907175696,0,True
nebotest77.testnet,1,23708679962438315802671768,True
leminhductestnet2.testnet,100240539126285758638039291,0,True
tiwoxiaozhang42.testnet,1,110113789896758927640672068,True
ikeanoabc.testnet,1,518956661400038690347370982,True
revenkop.testnet,1,513112525993444807450934,True
aju123.testnet,18152841950694494902306648,0,True
pablo.testnet,200025906136395708986594509,0,True
coleg702.testnet,117835722653877397515754,0,True
2zerominik.testnet,1,287327240597325916618161777,True
khoingn.testnet,1,342953994168904938384130,True
vanmanh260.testnet,2,4200708982269145094342115,True
vanmanh261.testnet,5,135011452543654924567732144,True
lienphamp1.testnet,2,512455410086803277678664711,True
haiphong1.testnet,2,14785176043490939139923872,True
danghlam.testnet,2,600774283425619075674750163,True
vanmanh262.testnet,2,1641297821079797715770347,True
tuyennd126.testnet,1,39419646929754098282974207,True
admin89.testnet,600598994838809980320834177,0,True
zfr03.testnet,1,523970803055593416781563555,True
phamquang286.testnet,1,522271925874168148180816290,True
syanchuk.testnet,1,504697046568722211981845979,True
demigold1.testnet,2,523965228602333163391181353,True
vikram.testnet,328752047426627544031625833,0,True
tunghuynhtn.testnet,1,524896407913736832342528936,True
whitesean.testnet,1,18750244504212924377573348,True
chajoin.testnet,1,523973065267057817449439356,True
importand.testnet,2,523284579521752507916975108,True
sukablyat.testnet,2,337643842606348845492565,True
nawiarjo.testnet,1,257533572866937581150093656,True
